date,department,headcount,new_hires,terminations,absences,overtime_hours,training_hours,avg_performance_score,avg_salary_usd,engagement_score
1/1/2015,Engineering,47,0,0,4,3.2,0,3.22,60493.18,0.734
1/2/2015,Engineering,48,0,0,2,1.1,2.6,3.59,58310.91,0.806
1/3/2015,Engineering,48,0,1,3,0.4,0.3,3.54,59207.49,0.699
1/4/2015,Engineering,49,0,0,0,0.9,0.5,3.81,57590.37,0.725
1/5/2015,Engineering,48,0,0,0,3.6,0.3,3.46,59204.85,0.757
1/6/2015,Engineering,48,0,0,2,0.2,0.7,3.73,58463.27,0.709
1/7/2015,Engineering,47,0,0,3,4,0.2,3.5,56724.91,0.677
1/8/2015,Engineering,51,2,0,1,0.5,0.8,3.43,60513.63,0.653
1/9/2015,Engineering,50,1,2,1,2.6,1.2,3.77,59344.27,0.82
1/10/2015,Engineering,48,0,0,3,3.3,0.3,4.02,60524.67,0.715
1/11/2015,Engineering,48,0,0,1,1.8,0.8,3.39,59222.77,0.854
1/12/2015,Engineering,49,0,0,1,0.3,0.5,3.85,58132.34,0.671
1/13/2015,Engineering,47,0,0,3,1.8,1.1,3.44,58441.31,0.754
1/14/2015,Engineering,49,0,0,1,4.6,0.4,3.86,57197.85,0.709
1/15/2015,Engineering,47,0,0,3,1.7,1.7,3.62,58724.21,0.691
1/16/2015,Engineering,51,1,1,0,4.7,0.4,3.24,58611.07,0.735
1/17/2015,Engineering,48,1,1,3,1.3,1.1,3.48,58693.69,0.739
1/18/2015,Engineering,46,0,0,3,0.5,0.3,3.6,58753.93,0.807
1/19/2015,Engineering,52,0,0,1,10.3,2.7,3.76,57349.49,0.727
1/20/2015,Engineering,49,0,0,1,5.9,1.3,3.71,56845.6,0.692
1/21/2015,Engineering,48,0,0,2,3.4,1,3.53,58441.09,0.685
1/22/2015,Engineering,49,1,0,1,1.8,1.7,3.27,57528.4,0.669
1/23/2015,Engineering,47,0,0,2,1.5,0.4,3.77,57770.14,0.733
1/24/2015,Engineering,49,0,0,1,3.4,0.2,3.43,55774.66,0.657
1/25/2015,Engineering,49,0,0,0,1.2,2,3.8,59541.31,0.746
1/26/2015,Engineering,50,1,2,1,1,1.5,3.62,56977.95,0.735
1/27/2015,Engineering,47,0,0,1,1.8,4.2,3.72,59010.07,0.774
1/28/2015,Engineering,46,0,0,0,0.4,0,3.43,59728.65,0.75
1/29/2015,Engineering,51,0,0,2,5.3,0.6,3.59,58636.82,0.782
1/30/2015,Engineering,49,0,1,1,11.9,0.3,3.83,58284.3,0.798
1/31/2015,Engineering,51,1,0,3,0.6,1.6,3.6,57110.48,0.689
2/1/2015,Engineering,50,0,0,1,1.8,0.1,3.52,57559.25,0.703
2/2/2015,Engineering,49,0,0,4,0,1.3,3.74,60897.33,0.734
2/3/2015,Engineering,49,1,0,2,5.8,0.8,3.56,58704.25,0.716
2/4/2015,Engineering,49,0,2,1,4.1,2,3.68,58580.31,0.653
2/5/2015,Engineering,50,0,0,1,0.9,0.1,3.89,58385.86,0.701
2/6/2015,Engineering,48,1,1,0,5,1.5,3.67,59393.46,0.813
2/7/2015,Engineering,52,1,1,2,1.1,1.5,3.71,59831.82,0.652
2/8/2015,Engineering,50,0,1,2,0.7,0.1,3.61,58438.39,0.716
2/9/2015,Engineering,50,0,1,2,0.5,0,3.63,59687.68,0.69
2/10/2015,Engineering,51,1,0,2,4.2,0.2,3.81,59291.86,0.755
2/11/2015,Engineering,50,0,0,1,3.7,1.1,3.61,58447,0.803
2/12/2015,Engineering,48,0,1,2,0.2,1.3,3.84,58821.06,0.654
2/13/2015,Engineering,49,0,1,2,1.4,1.4,3.97,57645.74,0.702
2/14/2015,Engineering,48,1,0,0,1.6,1.2,3.86,58846.78,0.763
2/15/2015,Engineering,53,0,0,5,2.3,0.3,3.48,57650.98,0.809
2/16/2015,Engineering,50,1,0,1,4.8,0.6,4.05,59757,0.754
2/17/2015,Engineering,51,0,0,0,1.3,0.8,3.49,60898.71,0.693
2/18/2015,Engineering,48,0,0,0,5.4,0.6,3.52,57612.24,0.673
2/19/2015,Engineering,46,0,0,0,1,2.3,3.52,57563.14,0.807
2/20/2015,Engineering,47,0,0,0,1,0.1,4.11,60721.29,0.705
2/21/2015,Engineering,47,0,0,2,0.1,0.3,3.73,58471.28,0.687
2/22/2015,Engineering,49,0,0,1,0.5,1.6,3.48,56603.03,0.676
2/23/2015,Engineering,49,0,1,1,0.4,0.1,3.55,59420.87,0.791
2/24/2015,Engineering,49,1,1,1,2.6,0,3.6,59918.09,0.72
2/25/2015,Engineering,48,1,0,2,1.2,1.5,3.63,58404.17,0.704
2/26/2015,Engineering,49,0,0,3,1.2,0,3.95,57162.35,0.777
2/27/2015,Engineering,49,0,0,2,1.7,0.8,3.89,58753.74,0.754
2/28/2015,Engineering,49,2,0,2,0.3,1.1,3.71,55779.46,0.786
3/1/2015,Engineering,48,0,0,2,0.8,0.5,4.07,58809.05,0.66
3/2/2015,Engineering,52,0,0,2,2.2,2.1,4.02,59101.78,0.71
3/3/2015,Engineering,49,1,0,5,3.9,0,4.04,58358.21,0.733
3/4/2015,Engineering,50,0,0,3,5,0.8,3.4,57721.57,0.671
3/5/2015,Engineering,48,0,0,2,8.8,0,3.9,57665.44,0.682
3/6/2015,Engineering,51,1,0,1,0.7,3.7,3.56,59648.07,0.749
3/7/2015,Engineering,47,1,0,2,2.4,0.8,3.65,58065.71,0.712
3/8/2015,Engineering,49,1,0,3,1.2,1.3,3.63,61044.82,0.844
3/9/2015,Engineering,49,0,0,1,3.4,2,4.02,58697.66,0.645
3/10/2015,Engineering,50,0,0,0,2.8,1.5,3.68,58622.22,0.735
3/11/2015,Engineering,51,0,0,2,7.9,2.1,3.82,56997.08,0.765
3/12/2015,Engineering,51,0,0,2,5.3,0.7,3.57,59341.59,0.712
3/13/2015,Engineering,48,0,0,3,0.6,0.6,4.04,59431.55,0.77
3/14/2015,Engineering,50,0,0,3,6.7,0.5,3.71,59088.1,0.702
3/15/2015,Engineering,47,0,0,2,0.8,0.7,3.93,58790.96,0.732
3/16/2015,Engineering,49,0,0,2,2.3,0.5,3.85,60933.2,0.738
3/17/2015,Engineering,49,0,0,0,1,0.9,3.68,57912.8,0.787
3/18/2015,Engineering,49,1,0,1,3.9,1.5,3.77,58718.83,0.734
3/19/2015,Engineering,50,0,0,2,1.2,1.4,3.77,58606.78,0.743
3/20/2015,Engineering,48,0,0,2,0.5,1.8,4.11,59022.66,0.633
3/21/2015,Engineering,48,0,0,3,1.3,2,3.81,60878.47,0.684
3/22/2015,Engineering,51,0,0,1,1.4,1.1,3.99,59357.67,0.691
3/23/2015,Engineering,50,0,0,1,1.9,0.1,3.68,58749.46,0.678
3/24/2015,Engineering,50,0,0,3,1.2,0.8,3.38,58916.54,0.747
3/25/2015,Engineering,48,0,1,1,7.6,1.3,3.99,56985.55,0.756
3/26/2015,Engineering,49,1,0,2,0.3,0.6,3.51,60717.21,0.645
3/27/2015,Engineering,52,0,0,0,1.2,2,4.08,60022.41,0.765
3/28/2015,Engineering,49,0,0,0,0.5,0.1,3.97,56964.07,0.745
3/29/2015,Engineering,50,0,0,1,6.2,0.8,4.07,59097.32,0.739
3/30/2015,Engineering,46,0,0,2,5.2,0.1,3.69,60157.96,0.74
