date,channel,campaign_type,impressions,clicks,ctr,conversions,conversion_rate,cost_per_click,spend,revenue,roas
2025-01-01,Google_Ads,Brand_Awareness,13489,413,0.0306,5,0.0121,1.962,810.31,2892.81,3.57
2025-01-01,Google_Ads,Lead_Gen,12989,426,0.0328,14,0.0329,1.877,799.6,2894.55,3.62
2025-01-01,Google_Ads,Retargeting,13682,439,0.0321,23,0.0524,1.959,860.0,3250.8,3.78
2025-01-01,Google_Ads,Product_Launch,13110,432,0.033,11,0.0255,1.906,823.39,3095.95,3.76
2025-01-01,Google_Ads,Seasonal_Promo,13325,419,0.0314,19,0.0453,1.859,778.92,2905.37,3.73
2025-01-01,Google_Ads,Loyalty_Program,13285,437,0.0329,28,0.0641,1.908,833.8,3193.45,3.83
2025-01-01,Meta_Ads,Brand_Awareness,20258,476,0.0235,5,0.0105,1.718,817.77,3132.06,3.83
2025-01-01,Meta_Ads,Lead_Gen,19792,479,0.0242,16,0.0334,1.772,848.79,3233.89,3.81
2025-01-01,Meta_Ads,Retargeting,19779,494,0.025,25,0.0506,1.868,922.79,3478.92,3.77
2025-01-01,Meta_Ads,Product_Launch,19551,498,0.0255,13,0.0261,1.913,952.67,3620.15,3.8
2025-01-01,Meta_Ads,Seasonal_Promo,19498,491,0.0252,18,0.0367,1.816,891.66,3325.89,3.73
2025-01-01,Meta_Ads,Loyalty_Program,19090,476,0.0249,33,0.0693,1.777,845.85,3281.9,3.88
2025-01-01,Email,Brand_Awareness,6102,1134,0.1858,13,0.0115,1.879,2130.79,8160.93,3.83
2025-01-01,Email,Lead_Gen,6491,1128,0.1738,38,0.0337,1.905,2148.84,7929.22,3.69
2025-01-01,Email,Retargeting,6164,1097,0.178,59,0.0538,1.859,2039.32,7708.63,3.78
2025-01-01,Email,Product_Launch,6484,1134,0.1749,32,0.0282,1.905,2160.27,8014.6,3.71
2025-01-01,Email,Seasonal_Promo,6433,1122,0.1744,47,0.0419,1.818,2039.8,7241.29,3.55
2025-01-01,Email,Loyalty_Program,6459,1128,0.1746,74,0.0656,1.917,2162.38,8303.54,3.84
2025-01-01,SEO_Organic,Brand_Awareness,10496,465,0.0443,5,0.0108,1.844,857.46,3026.83,3.53
2025-01-01,SEO_Organic,Lead_Gen,10033,448,0.0447,15,0.0335,1.856,831.49,3051.57,3.67
2025-01-01,SEO_Organic,Retargeting,10235,490,0.0479,24,0.049,1.903,932.47,3347.57,3.59
2025-01-01,SEO_Organic,Product_Launch,10330,452,0.0438,12,0.0265,1.972,891.34,3146.43,3.53
2025-01-01,SEO_Organic,Seasonal_Promo,10491,467,0.0445,18,0.0385,1.734,809.78,3060.97,3.78
2025-01-01,SEO_Organic,Loyalty_Program,10232,468,0.0457,30,0.0641,2.021,945.83,3490.11,3.69
2025-01-01,Affiliate,Brand_Awareness,5212,149,0.0286,1,0.0067,2.003,298.45,1155.0,3.87
2025-01-01,Affiliate,Lead_Gen,5431,158,0.0291,4,0.0253,1.772,279.98,1019.13,3.64
2025-01-01,Affiliate,Retargeting,5324,143,0.0269,8,0.0559,1.844,263.69,925.55,3.51
2025-01-01,Affiliate,Product_Launch,5238,152,0.029,4,0.0263,2.074,315.25,1308.29,4.15
2025-01-01,Affiliate,Seasonal_Promo,5417,144,0.0266,5,0.0347,1.894,272.74,1003.68,3.68
2025-01-01,Affiliate,Loyalty_Program,5303,147,0.0277,9,0.0612,1.987,292.09,1083.65,3.71
2025-01-01,TikTok_Ads,Brand_Awareness,23224,860,0.037,9,0.0105,1.781,1531.66,5820.31,3.8
2025-01-01,TikTok_Ads,Lead_Gen,24310,890,0.0366,32,0.036,1.817,1617.13,5870.18,3.63
2025-01-01,TikTok_Ads,Retargeting,22856,872,0.0382,54,0.0619,1.804,1573.09,6040.67,3.84
2025-01-01,TikTok_Ads,Product_Launch,22858,907,0.0397,25,0.0276,1.877,1702.44,6333.08,3.72
2025-01-01,TikTok_Ads,Seasonal_Promo,22987,904,0.0393,36,0.0398,1.719,1553.98,5470.01,3.52
2025-01-01,TikTok_Ads,Loyalty_Program,23561,934,0.0396,58,0.0621,1.817,1697.08,6414.96,3.78
2025-01-01,YouTube_Ads,Brand_Awareness,16772,361,0.0215,4,0.0111,1.987,717.31,2747.3,3.83
2025-01-01,YouTube_Ads,Lead_Gen,16936,365,0.0216,11,0.0301,1.711,624.51,2454.32,3.93
2025-01-01,YouTube_Ads,Retargeting,17096,359,0.021,19,0.0529,2.021,725.54,2604.69,3.59
2025-01-01,YouTube_Ads,Product_Launch,15961,365,0.0229,9,0.0247,1.857,677.8,2541.75,3.75
2025-01-01,YouTube_Ads,Seasonal_Promo,16394,371,0.0226,15,0.0404,1.884,698.96,2460.34,3.52
2025-01-01,YouTube_Ads,Loyalty_Program,16356,346,0.0212,21,0.0607,1.744,603.42,2226.62,3.69
2025-01-01,LinkedIn_Ads,Brand_Awareness,8025,142,0.0177,1,0.007,1.821,258.58,954.16,3.69
2025-01-01,LinkedIn_Ads,Lead_Gen,8100,153,0.0189,5,0.0327,1.833,280.45,1034.86,3.69
2025-01-01,LinkedIn_Ads,Retargeting,7835,150,0.0191,8,0.0533,1.725,258.75,978.07,3.78
2025-01-01,LinkedIn_Ads,Product_Launch,7906,161,0.0204,4,0.0248,1.85,297.85,1122.89,3.77
2025-01-01,LinkedIn_Ads,Seasonal_Promo,7603,146,0.0192,6,0.0411,1.96,286.16,1038.76,3.63
2025-01-01,LinkedIn_Ads,Loyalty_Program,7709,138,0.0179,9,0.0652,1.783,246.05,907.92,3.69
2025-01-02,Google_Ads,Brand_Awareness,13124,426,0.0325,4,0.0094,1.734,738.68,3021.2,4.09
2025-01-02,Google_Ads,Lead_Gen,12993,409,0.0315,16,0.0391,2.154,880.99,3153.94,3.58
2025-01-02,Google_Ads,Retargeting,13301,433,0.0326,25,0.0577,1.76,762.08,2812.08,3.69
2025-01-02,Google_Ads,Product_Launch,13623,433,0.0318,11,0.0254,1.808,782.86,2810.47,3.59
2025-01-02,Google_Ads,Seasonal_Promo,13308,425,0.0319,18,0.0424,1.821,773.92,2979.59,3.85
2025-01-02,Google_Ads,Loyalty_Program,13706,432,0.0315,28,0.0648,1.873,809.14,3058.55,3.78
2025-01-02,Meta_Ads,Brand_Awareness,18963,488,0.0257,5,0.0102,1.988,970.14,3832.05,3.95
2025-01-02,Meta_Ads,Lead_Gen,19456,469,0.0241,15,0.032,1.961,919.71,3458.11,3.76
2025-01-02,Meta_Ads,Retargeting,19658,456,0.0232,28,0.0614,1.889,861.38,3109.58,3.61
2025-01-02,Meta_Ads,Product_Launch,19232,489,0.0254,13,0.0266,1.821,890.47,3365.98,3.78
2025-01-02,Meta_Ads,Seasonal_Promo,19250,484,0.0251,21,0.0434,1.605,776.82,2920.84,3.76
2025-01-02,Meta_Ads,Loyalty_Program,19479,485,0.0249,30,0.0619,1.692,820.62,3118.36,3.8
2025-01-02,Email,Brand_Awareness,6635,1089,0.1641,14,0.0129,1.791,1950.4,7274.99,3.73
2025-01-02,Email,Lead_Gen,6209,1128,0.1817,43,0.0381,1.88,2120.64,8355.32,3.94
2025-01-02,Email,Retargeting,6545,1156,0.1766,69,0.0597,1.853,2142.07,8289.81,3.87
2025-01-02,Email,Product_Launch,6334,1152,0.1819,30,0.026,1.939,2233.73,8019.09,3.59
2025-01-02,Email,Seasonal_Promo,6484,1140,0.1758,51,0.0447,1.926,2195.64,8650.82,3.94
2025-01-02,Email,Loyalty_Program,6496,1085,0.167,74,0.0682,1.762,1911.77,7111.78,3.72
2025-01-02,SEO_Organic,Brand_Awareness,10696,476,0.0445,5,0.0105,1.755,835.38,3132.68,3.75
2025-01-02,SEO_Organic,Lead_Gen,10088,458,0.0454,16,0.0349,1.927,882.57,3415.55,3.87
2025-01-02,SEO_Organic,Retargeting,9775,474,0.0485,25,0.0527,1.872,887.33,3487.21,3.93
2025-01-02,SEO_Organic,Product_Launch,9888,457,0.0462,13,0.0284,1.745,797.47,3142.03,3.94
2025-01-02,SEO_Organic,Seasonal_Promo,10475,476,0.0454,18,0.0378,1.951,928.68,3631.14,3.91
2025-01-02,SEO_Organic,Loyalty_Program,10415,468,0.0449,30,0.0641,1.787,836.32,3094.38,3.7
2025-01-02,Affiliate,Brand_Awareness,5336,150,0.0281,1,0.0067,1.768,265.2,994.5,3.75
2025-01-02,Affiliate,Lead_Gen,5587,147,0.0263,5,0.034,1.852,272.24,1056.29,3.88
2025-01-02,Affiliate,Retargeting,5382,157,0.0292,8,0.051,1.946,305.52,1154.87,3.78
2025-01-02,Affiliate,Product_Launch,5703,149,0.0261,3,0.0201,2.037,303.51,1126.02,3.71
2025-01-02,Affiliate,Seasonal_Promo,5374,156,0.029,5,0.0321,1.746,272.38,975.12,3.58
2025-01-02,Affiliate,Loyalty_Program,5250,153,0.0291,10,0.0654,1.91,292.23,1022.81,3.5
2025-01-02,TikTok_Ads,Brand_Awareness,22010,893,0.0406,10,0.0112,1.871,1670.8,6516.12,3.9
2025-01-02,TikTok_Ads,Lead_Gen,23400,909,0.0388,31,0.0341,1.915,1740.74,6440.74,3.7
2025-01-02,TikTok_Ads,Retargeting,23285,898,0.0386,50,0.0557,1.846,1657.71,6299.3,3.8
2025-01-02,TikTok_Ads,Product_Launch,23208,877,0.0378,25,0.0285,1.701,1491.78,5295.82,3.55
2025-01-02,TikTok_Ads,Seasonal_Promo,22531,820,0.0364,35,0.0427,1.909,1565.38,5713.64,3.65
2025-01-02,TikTok_Ads,Loyalty_Program,23575,919,0.039,62,0.0675,1.822,1674.42,6563.73,3.92
2025-01-02,YouTube_Ads,Brand_Awareness,16320,348,0.0213,4,0.0115,1.742,606.22,2218.77,3.66
2025-01-02,YouTube_Ads,Lead_Gen,16226,373,0.023,13,0.0349,1.709,637.46,2396.85,3.76
2025-01-02,YouTube_Ads,Retargeting,16029,367,0.0229,19,0.0518,1.712,628.3,2425.24,3.86
2025-01-02,YouTube_Ads,Product_Launch,16071,352,0.0219,9,0.0256,1.795,631.84,2419.95,3.83
2025-01-02,YouTube_Ads,Seasonal_Promo,16193,359,0.0222,15,0.0418,1.948,699.33,2622.49,3.75
2025-01-02,YouTube_Ads,Loyalty_Program,15796,369,0.0234,22,0.0596,1.933,713.28,2696.2,3.78
2025-01-02,LinkedIn_Ads,Brand_Awareness,7833,150,0.0191,2,0.0133,2.069,310.35,1160.71,3.74
2025-01-02,LinkedIn_Ads,Lead_Gen,7943,156,0.0196,5,0.0321,1.878,292.97,1104.5,3.77
2025-01-02,LinkedIn_Ads,Retargeting,7935,145,0.0183,7,0.0483,1.63,236.35,855.59,3.62
2025-01-02,LinkedIn_Ads,Product_Launch,7779,148,0.019,4,0.027,2.032,300.74,1106.72,3.68
2025-01-02,LinkedIn_Ads,Seasonal_Promo,7933,147,0.0185,6,0.0408,1.865,274.15,1041.77,3.8
2025-01-02,LinkedIn_Ads,Loyalty_Program,7768,154,0.0198,9,0.0584,1.883,289.98,1188.92,4.1
2025-01-03,Google_Ads,Brand_Awareness,13464,447,0.0332,5,0.0112,1.928,861.82,3283.53,3.81
2025-01-03,Google_Ads,Lead_Gen,13342,413,0.031,15,0.0363,1.797,742.16,2835.05,3.82
2025-01-03,Google_Ads,Retargeting,13745,433,0.0315,22,0.0508,1.896,820.97,3021.17,3.68
2025-01-03,Google_Ads,Product_Launch,13673,402,0.0294,11,0.0274,1.626,653.65,2340.07,3.58
2025-01-03,Google_Ads,Seasonal_Promo,13800,441,0.032,17,0.0385,1.732,763.81,2596.95,3.4
2025-01-03,Google_Ads,Loyalty_Program,13226,463,0.035,28,0.0605,1.815,840.35,3226.94,3.84
2025-01-03,Meta_Ads,Brand_Awareness,18583,478,0.0257,5,0.0105,1.785,853.23,3284.94,3.85
2025-01-03,Meta_Ads,Lead_Gen,19438,492,0.0253,16,0.0325,1.933,951.04,3747.1,3.94
2025-01-03,Meta_Ads,Retargeting,18991,470,0.0247,28,0.0596,1.828,859.16,3385.09,3.94
2025-01-03,Meta_Ads,Product_Launch,19246,507,0.0263,13,0.0256,1.873,949.61,3798.44,4.0
2025-01-03,Meta_Ads,Seasonal_Promo,19200,467,0.0243,19,0.0407,1.888,881.7,3165.3,3.59
2025-01-03,Meta_Ads,Loyalty_Program,19699,472,0.024,33,0.0699,1.631,769.83,2809.88,3.65
2025-01-03,Email,Brand_Awareness,6101,1115,0.1828,13,0.0117,1.806,2013.69,7470.79,3.71
2025-01-03,Email,Lead_Gen,6345,1149,0.1811,37,0.0322,1.891,2172.76,8278.22,3.81
2025-01-03,Email,Retargeting,6422,1161,0.1808,63,0.0543,2.006,2328.97,8733.64,3.75
2025-01-03,Email,Product_Launch,6332,1122,0.1772,30,0.0267,1.73,1941.06,7046.05,3.63
2025-01-03,Email,Seasonal_Promo,6351,1161,0.1828,48,0.0413,1.781,2067.74,7898.77,3.82
2025-01-03,Email,Loyalty_Program,6498,1140,0.1754,71,0.0623,1.923,2192.22,8352.36,3.81
2025-01-03,SEO_Organic,Brand_Awareness,9998,466,0.0466,5,0.0107,1.765,822.49,3100.79,3.77
